Alter_Besucher,Einkommen_Besucher,Geschlecht_Besucher,Zeit_Besucher,KundeNr,Alter_Kunden,Einkommen_Kunden,Preis,Geschlecht_Kunden,Zeit_Kunden,Niederlassung
30.0,31232.137410671497,weiblich,52.0,K1984,,,,,,Nordrhein-Westfalen
70.0,83902.94581993156,weiblich,49.0,K1922,,,,,,Niedersachsen
45.0,59679.660948359415,weiblich,25.0,K1933,,,,,,Thüringen
32.0,28689.47225291241,weiblich,41.0,K1648,,,,,,Sachsen
44.0,59093.19528865111,männlich,34.0,K1653,,,,,,Berlin
47.0,43409.22363053848,weiblich,32.0,K1199,,,,,,Sachsen
62.0,77682.56445966552,weiblich,28.0,K1116,,,,,,Nordrhein-Westfalen
42.0,34572.62891288065,weiblich,42.0,K1536,,,,,,Niedersachsen
66.0,77908.2919508747,männlich,41.0,K1148,,,,,,Nordrhein-Westfalen
53.0,44536.66728238031,männlich,36.0,K1147,,,,,,Nordrhein-Westfalen
44.0,48650.03750087601,männlich,45.0,K1434,,,,,,Sachsen
46.0,52041.42325072015,männlich,28.0,K1272,,,,,,Bayern
62.0,85386.11536571402,männlich,35.0,K1884,,,,,,Baden-Württemberg
45.0,39956.11884255284,männlich,34.0,K1642,,,,,,Baden-Württemberg
55.0,70713.57874370294,männlich,40.0,K1840,,,,,,Berlin
30.0,42439.49390670383,männlich,49.0,K1604,,,,,,Berlin
53.0,55541.95679712114,männlich,50.0,K1283,,,,,,Sachsen
56.0,62958.236734754246,männlich,28.0,K1688,,,,,,Bayern
70.0,76890.7480564395,männlich,37.0,K1889,,,,,,Berlin
55.0,67803.19569847536,männlich,39.0,K1698,,,,,,Baden-Württemberg
32.0,47052.41137944455,männlich,30.0,K1282,,,,,,Nordrhein-Westfalen
59.0,70568.66378815504,männlich,43.0,K1749,,,,,,Bayern
38.0,31258.40589789548,weiblich,39.0,K1815,,,,,,Berlin
38.0,42954.2984579802,weiblich,39.0,K1720,,,,,,Baden-Württemberg
61.0,84321.02890463859,männlich,44.0,K1488,,,,,,Baden-Württemberg
46.0,60088.44886582324,männlich,38.0,K1362,,,,,,Bayern
46.0,71444.45810073885,männlich,23.0,K1839,,,,,,Niedersachsen
34.0,34255.8842775536,männlich,34.0,K1440,,,,,,Sachsen
47.0,50532.94655950043,männlich,32.0,K1656,,,,,,Brandenburg
63.0,79754.37807458994,männlich,42.0,K1120,,,,,,Nordrhein-Westfalen
57.0,58633.96976384482,männlich,32.0,K1108,,,,,,Thüringen
65.0,62351.08641991102,weiblich,40.0,K1516,,,,,,Bayern
53.0,72003.34639382867,weiblich,34.0,K1361,,,,,,Nordrhein-Westfalen
63.0,79995.43490693603,männlich,23.0,K1556,,,,,,Hessen
35.0,33793.84665708341,männlich,41.0,K1578,,,,,,Berlin
61.0,79736.84965500307,männlich,31.0,K1802,,,,,,Niedersachsen
69.0,98883.18757367524,männlich,29.0,K1498,,,,,,Hessen
68.0,92374.32383282809,weiblich,44.0,K1327,,,,,,Baden-Württemberg
70.0,92238.94765868138,männlich,38.0,K1611,,,,,,Bayern
57.0,52972.58201462748,weiblich,47.0,K1672,,,,,,Sachsen
36.0,47024.3005565006,männlich,26.0,K1525,,,,,,Baden-Württemberg
41.0,45176.5164943388,weiblich,33.0,K1429,,,,,,Berlin
49.0,52713.55868975444,weiblich,43.0,K1635,,,,,,Baden-Württemberg
50.0,43389.6662576152,männlich,38.0,K1114,,,,,,Niedersachsen
69.0,79689.64512573004,männlich,51.0,K1354,,,,,,Bayern
41.0,53765.35585459019,weiblich,21.0,K1127,,,,,,Niedersachsen
49.0,57703.96636766509,männlich,27.0,K1461,,,,,,Berlin
65.0,73776.46692409588,männlich,33.0,K1326,,,,,,Niedersachsen
41.0,56806.22119727098,männlich,32.0,K1706,,,,,,Bayern
34.0,34204.31522228897,männlich,43.0,K1871,,,,,,Nordrhein-Westfalen
59.0,85332.22542381042,männlich,21.0,K1979,,,,,,Nordrhein-Westfalen
55.0,58756.75145483924,männlich,34.0,K1633,,,,,,Nordrhein-Westfalen
61.0,81435.30184849372,männlich,40.0,K1445,,,,,,Niedersachsen
39.0,63688.04086663379,männlich,20.0,K1848,,,,,,Berlin
51.0,46823.71950733446,weiblich,41.0,K1624,,,,,,Bayern
50.0,67276.38391826894,männlich,29.0,K1308,,,,,,Hessen
45.0,70632.18116424145,weiblich,52.0,K1342,,,,,,Sachsen
33.0,36719.10148652727,männlich,35.0,K1198,,,,,,Nordrhein-Westfalen
66.0,75021.34800930391,männlich,27.0,K1835,,,,,,Bayern
63.0,65737.34789246088,weiblich,49.0,K1545,,,,,,Nordrhein-Westfalen
56.0,66606.82240212626,männlich,15.0,K1664,,,,,,Bayern
42.0,42036.4907884942,männlich,36.0,K1389,,,,,,Bayern
64.0,82889.73040827588,weiblich,44.0,K1289,,,,,,Baden-Württemberg
55.0,55421.10091157522,weiblich,29.0,K1896,,,,,,Niedersachsen
59.0,59731.06742753732,weiblich,30.0,K1592,,,,,,Nordrhein-Westfalen
63.0,78072.77390257167,männlich,30.0,K1258,,,,,,Bayern
65.0,91807.01049333796,männlich,45.0,K1180,,,,,,Nordrhein-Westfalen
53.0,65662.1492493404,männlich,48.0,K1761,,,,,,Thüringen
36.0,29607.14160492055,männlich,23.0,K1736,,,,,,Bayern
56.0,70410.79805191848,männlich,39.0,K1382,,,,,,Bayern
47.0,63119.27077514208,weiblich,51.0,K1173,,,,,,Bayern
42.0,44380.59493320296,männlich,30.0,K1930,,,,,,Bayern
56.0,71443.21885328605,männlich,31.0,K1293,,,,,,Bayern
66.0,66735.69174215138,weiblich,26.0,K1376,,,,,,Nordrhein-Westfalen
30.0,40283.17451896094,männlich,50.0,K1767,,,,,,Baden-Württemberg
49.0,54140.59545614648,männlich,29.0,K1816,,,,,,Baden-Württemberg
33.0,36223.99905839761,weiblich,52.0,K1341,,,,,,Baden-Württemberg
68.0,81230.95237363465,weiblich,46.0,K1193,,,,,,Hessen
57.0,65786.36558907609,männlich,43.0,K1862,,,,,,Thüringen
43.0,59089.74089652931,weiblich,29.0,K1222,,,,,,Sachsen
39.0,58806.417593735336,männlich,55.0,K1230,,,,,,Niedersachsen
68.0,80798.29331494017,männlich,43.0,K1836,,,,,,Nordrhein-Westfalen
36.0,38942.80911718784,weiblich,35.0,K1394,,,,,,Nordrhein-Westfalen
36.0,46373.45798243152,weiblich,36.0,K1343,,,,,,Bayern
42.0,57149.49800655036,weiblich,35.0,K1105,,,,,,Hessen
42.0,52174.79091303806,weiblich,38.0,K1986,,,,,,Bayern
42.0,46178.95708275883,männlich,28.0,K1572,,,,,,Hessen
34.0,26418.801247455667,weiblich,45.0,K1932,,,,,,Sachsen
41.0,55038.29982685805,männlich,41.0,K1500,,,,,,Hessen
62.0,71314.97859749506,weiblich,37.0,K1636,,,,,,Sachsen
33.0,49527.66481574445,weiblich,25.0,K1231,,,,,,Baden-Württemberg
54.0,53583.84502967968,weiblich,39.0,K1383,,,,,,Nordrhein-Westfalen
39.0,56179.01757390302,männlich,29.0,K1796,,,,,,Nordrhein-Westfalen
54.0,69210.98341641495,männlich,40.0,K1221,,,,,,Nordrhein-Westfalen
33.0,28556.82030061056,männlich,52.0,K1333,,,,,,Nordrhein-Westfalen
32.0,40946.27928872359,weiblich,28.0,K1727,,,,,,Hessen
50.0,56452.50312454669,männlich,37.0,K1760,,,,,,Bayern
64.0,66775.5553021718,männlich,11.0,K1703,,,,,,Berlin
51.0,41344.513691095926,weiblich,24.0,K1621,,,,,,Nordrhein-Westfalen
37.0,42547.269364431886,männlich,45.0,K1379,,,,,,Berlin
60.0,59341.44721400047,männlich,46.0,K1423,,,,,,Hessen
36.0,54638.64043798264,weiblich,31.0,K1711,,,,,,Sachsen
69.0,71732.2488483215,weiblich,26.0,K1249,,,,,,Hessen
47.0,41229.83915188955,männlich,32.0,K1739,,,,,,Nordrhein-Westfalen
42.0,52868.08933311733,weiblich,22.0,K1663,,,,,,Baden-Württemberg
68.0,74031.33048504737,weiblich,41.0,K1914,,,,,,Baden-Württemberg
33.0,44278.56567005231,weiblich,51.0,K1850,,,,,,Nordrhein-Westfalen
54.0,71794.83899910498,weiblich,32.0,K1474,,,,,,Berlin
62.0,78050.89145865993,weiblich,49.0,K1373,,,,,,Baden-Württemberg
60.0,80978.81780644435,männlich,28.0,K1728,,,,,,Nordrhein-Westfalen
45.0,51056.508520397634,männlich,33.0,K1412,,,,,,Nordrhein-Westfalen
53.0,64432.70137116784,männlich,41.0,K1528,,,,,,Baden-Württemberg
48.0,62342.14554131874,weiblich,32.0,K1415,,,,,,Niedersachsen
51.0,56363.69118728709,weiblich,35.0,K1459,,,,,,Hamburg
63.0,72396.21052871113,männlich,48.0,K1151,,,,,,Niedersachsen
34.0,26142.98247982684,weiblich,50.0,K1454,,,,,,Brandenburg
67.0,87205.89801486135,männlich,47.0,K1476,,,,,,Sachsen
58.0,65207.45369111064,weiblich,27.0,K1584,,,,,,Baden-Württemberg
39.0,48650.32716141169,männlich,45.0,K1681,,,,,,Nordrhein-Westfalen
58.0,80403.59755265598,männlich,25.0,K1366,,,,,,Baden-Württemberg
62.0,68355.76502240951,weiblich,35.0,K1300,,,,,,Thüringen
49.0,54754.52544962578,männlich,44.0,K1995,,,,,,Berlin-Charlottenburg
53.0,59447.262796840456,männlich,48.0,K1849,,,,,,Nordrhein-Westfalen
52.0,67687.35381148307,männlich,47.0,K1212,,,,,,Baden-Württemberg
41.0,43844.85658174201,weiblich,51.0,K1971,,,,,,Niedersachsen
50.0,56874.927420698994,männlich,32.0,K1164,,,,,,Berlin
41.0,45205.48270302053,männlich,26.0,K1763,,,,,,Baden-Württemberg
56.0,66037.855417978,weiblich,33.0,K1368,,,,,,Berlin
58.0,70703.99819302277,männlich,38.0,K1673,,,,,,Hessen
32.0,57455.89154299589,weiblich,42.0,K1205,,,,,,Niedersachsen
60.0,78010.02181157023,weiblich,40.0,K1548,,,,,,Thüringen
54.0,54716.54874136162,männlich,39.0,K1595,,,,,,Sachsen
68.0,74173.37479321256,männlich,41.0,K1792,,,,,,Thüringen
45.0,56233.72142710067,männlich,46.0,K1904,,,,,,Bayern
63.0,72230.76156233066,männlich,25.0,K1745,,,,,,Nordrhein-Westfalen
63.0,68751.57141072903,männlich,39.0,K1274,,,,,,Baden-Württemberg
63.0,81446.3626440167,weiblich,12.0,K1284,,,,,,Niedersachsen
52.0,63037.62322866091,weiblich,42.0,K1409,,,,,,Baden-Württemberg
55.0,63242.91075110579,männlich,35.0,K1446,,,,,,Baden-Württemberg
36.0,49453.96108096693,männlich,36.0,K1162,,,,,,Baden-Württemberg
30.0,46530.32318665145,männlich,45.0,K1963,,,,,,Nordrhein-Westfalen
31.0,47601.83250459995,männlich,29.0,K1254,,,,,,Hamburg
69.0,78663.93535160618,männlich,37.0,K1229,,,,,,Niedersachsen
68.0,75303.55879567935,weiblich,27.0,K1808,,,,,,Nordrhein-Westfalen
51.0,57040.845501739626,männlich,38.0,K1155,,,,,,Sachsen
45.0,44138.65666459138,männlich,31.0,K1458,,,,,,Bayern
49.0,50246.09171758335,männlich,42.0,K1928,,,,,,Sachsen
41.0,54152.49417110841,weiblich,15.0,K1247,,,,,,Berlin
70.0,71511.57807009188,weiblich,47.0,K1575,,,,,,Nordrhein-Westfalen
32.0,32659.50626332902,männlich,27.0,K1504,,,,,,Bayern
63.0,74905.16215817424,männlich,35.0,K1680,,,,,,Hessen
46.0,53575.60719815357,weiblich,54.0,K1425,,,,,,Hessen
32.0,34848.440657675164,weiblich,24.0,K1124,,,,,,Nordrhein-Westfalen
65.0,70533.06422668723,männlich,38.0,K1897,,,,,,Nordrhein-Westfalen
51.0,53267.39361143701,männlich,53.0,K1812,,,,,,Berlin
35.0,53193.85923018119,weiblich,33.0,K1828,,,,,,Thüringen
41.0,64926.19167828226,weiblich,39.0,K1512,,,,,,Hamburg
55.0,65102.40111435221,weiblich,22.0,K1662,,,,,,Bayern
53.0,64075.21152405026,weiblich,36.0,K1143,,,,,,Nordrhein-Westfalen
49.0,67290.60216332534,weiblich,30.0,K1280,,,,,,Hessen
41.0,35323.88007913634,männlich,24.0,K1350,,,,,,Sachsen
59.0,63141.814178909146,weiblich,31.0,K1845,,,,,,Sachsen
67.0,78936.7240936164,männlich,34.0,K1707,,,,,,Niedersachsen
51.0,76712.25928056381,männlich,36.0,K1873,,,,,,Baden-Württemberg
44.0,48523.85972184355,männlich,54.0,K1869,,,,,,Sachsen
37.0,41367.81621506573,weiblich,31.0,K1259,,,,,,Nordrhein-Westfalen
64.0,68522.84225868413,männlich,43.0,K1392,,,,,,Sachsen
42.0,50054.07447111782,männlich,36.0,K1855,,,,,,Nordrhein-Westfalen
51.0,64923.2465521522,männlich,39.0,K1122,,,,,,Nordrhein-Westfalen
48.0,57701.18544621786,männlich,22.0,K1232,,,,,,Nordrhein-Westfalen
38.0,25073.66890051087,weiblich,44.0,K1427,,,,,,Berlin
54.0,59813.591317114704,weiblich,39.0,K1360,,,,,,Berlin
52.0,55752.80243094997,männlich,42.0,K1875,,,,,,Bayern
31.0,35492.79320276713,männlich,39.0,K1961,,,,,,Nordrhein-Westfalen
69.0,75983.22376160801,weiblich,47.0,K1295,,,,,,Hessen
70.0,57964.51215425568,männlich,20.0,K1220,,,,,,Hessen
37.0,38361.78583960067,weiblich,25.0,K1842,,,,,,Nordrhein-Westfalen
51.0,67445.37935769891,weiblich,38.0,K1285,,,,,,Bayern
41.0,40291.75658339562,männlich,40.0,K1406,,,,,,Thüringen
45.0,34928.931486598696,männlich,14.0,K1784,,,,,,Bayern
69.0,95449.89944185666,weiblich,35.0,K1743,,,,,,Berlin
30.0,44854.02478961971,weiblich,36.0,K1754,,,,,,Hessen
60.0,74006.40521042302,weiblich,43.0,K1721,,,,,,Bayern
67.0,92235.91092679052,männlich,29.0,K1701,,,,,,Bayern
54.0,81957.21491840295,weiblich,31.0,K1622,,,,,,Berlin
31.0,31912.96328237923,weiblich,29.0,K1980,,,,,,Bayern
67.0,100322.36627573174,weiblich,50.0,K1150,,,,,,Bayern
47.0,56853.89576971034,männlich,43.0,K1912,,,,,,Bayern
35.0,33579.07453165961,weiblich,34.0,K1262,,,,,,Baden-Württemberg
53.0,50242.75715062758,weiblich,32.0,K1770,,,,,,Nordrhein-Westfalen
52.0,58522.30288435561,weiblich,36.0,K1276,,,,,,Sachsen
35.0,35620.91508044857,weiblich,33.0,K1121,,,,,,Bayern
58.0,68324.69609736647,männlich,35.0,K1616,,,,,,Bayern
44.0,64786.55370707238,männlich,56.0,K1153,,,,,,Baden-Württemberg
32.0,45043.607729217045,weiblich,17.0,K1967,,,,,,Nordrhein-Westfalen
54.0,72200.30765952234,männlich,33.0,K1854,,,,,,Hessen
46.0,61880.00432369419,weiblich,40.0,K1620,,,,,,Sachsen
70.0,97121.14063388376,männlich,36.0,K1722,,,,,,Baden-Württemberg
68.0,91036.07992470788,männlich,40.0,K1585,,,,,,Brandenburg
34.0,55437.44934982448,weiblich,41.0,K1388,,,,,,Sachsen
70.0,67947.50548655371,weiblich,18.0,K1694,,,,,,Bayern
68.0,67645.32893488045,weiblich,51.0,K1330,,,,,,Berlin
52.0,71199.25034553104,männlich,29.0,K1131,,,,,,Berlin
34.0,31569.14469448068,männlich,58.0,K1953,,,,,,Baden-Württemberg
45.0,50681.68694442643,männlich,41.0,K1542,,,,,,Hessen
39.0,42755.05631672945,männlich,30.0,K1949,,,,,,Hessen
60.0,61876.053857405335,weiblich,20.0,K1469,,,,,,Hessen
59.0,77392.45243948342,männlich,44.0,K1334,,,,,,Hessen
35.0,31305.75142624562,männlich,27.0,K1142,,,,,,Baden-Württemberg
66.0,76359.21101179442,weiblich,22.0,K1962,,,,,,Sachsen
59.0,58008.720109576505,männlich,35.0,K1479,,,,,,Baden-Württemberg
31.0,41923.36515027969,männlich,33.0,K1574,,,,,,Nordrhein-Westfalen
33.0,37291.97508568333,männlich,27.0,K1964,,,,,,Bayern
64.0,80850.54112703342,weiblich,36.0,K1863,,,,,,Baden-Württemberg
31.0,24167.813958101447,männlich,41.0,K1756,,,,,,Niedersachsen
46.0,47676.39503820558,männlich,55.0,K1299,,,,,,Bayern
39.0,40081.01700884192,weiblich,53.0,K1865,,,,,,Nordrhein-Westfalen
63.0,84772.48084731762,männlich,30.0,K1973,,,,,,Düsseldorf
30.0,21238.02542225393,männlich,30.0,K1608,,,,,,Berlin
54.0,53423.91068717487,weiblich,36.0,K1966,,,,,,Hamburg
49.0,55265.13374235362,männlich,57.0,K1846,,,,,,Baden-Württemberg
65.0,79612.09314241726,weiblich,34.0,K1684,,,,,,Hessen
40.0,41616.57298010873,weiblich,48.0,K1993,,,,,,Nordrhein-Westfalen
30.0,54906.9841115438,weiblich,36.0,K1267,,,,,,Nordrhein-Westfalen
67.0,67953.50503425323,weiblich,38.0,K1735,,,,,,Niedersachsen
39.0,54069.62609830466,männlich,42.0,K1257,,,,,,Bayern
58.0,68239.81506659748,männlich,38.0,K1789,,,,,,Baden-Württemberg
39.0,47801.25201522806,männlich,29.0,K1734,,,,,,Baden-Württemberg
42.0,54451.38922687168,weiblich,17.0,K1780,,,,,,Hessen
63.0,72872.40984065089,männlich,32.0,K1216,,,,,,Brandenburg
69.0,77933.08345381929,männlich,43.0,K1331,,,,,,Thüringen
39.0,39742.26414332624,männlich,37.0,K1723,,,,,,Niedersachsen
48.0,46968.11334133677,männlich,16.0,K1208,,,,,,Hessen
62.0,84204.70672820717,männlich,68.0,K1526,,,,,,Bayern
59.0,64971.40044640654,männlich,29.0,K1524,,,,,,Sachsen
30.0,25293.08536320475,männlich,37.0,K1691,,,,,,Sachsen
48.0,57289.90314946119,weiblich,16.0,K1224,,,,,,Nordrhein-Westfalen
47.0,53602.47896688802,männlich,33.0,K1158,,,,,,Nordrhein-Westfalen
62.0,70856.65436451563,männlich,40.0,K1256,,,,,,Berlin
45.0,65988.52038027447,männlich,55.0,K1508,,,,,,Sachsen
61.0,43123.90092326082,männlich,46.0,K1944,,,,,,Baden-Württemberg
42.0,41050.15920441383,männlich,27.0,K1312,,,,,,Baden-Württemberg
53.0,61112.05583267966,weiblich,20.0,K1857,,,,,,Baden-Württemberg
70.0,79595.02132977676,männlich,51.0,K1822,,,,,,Thüringen
66.0,76115.9481075349,weiblich,59.0,K1113,,,,,,Bayern
38.0,29634.423994680477,männlich,42.0,K1827,,,,,,Baden-Württemberg
61.0,62738.78126475906,männlich,27.0,K1141,,,,,,Niedersachsen
68.0,94379.27254997374,männlich,35.0,K1557,,,,,,Niedersachsen
42.0,67920.23427164622,männlich,48.0,K1358,,,,,,Berlin
37.0,39083.359698716136,männlich,33.0,K1408,,,,,,Baden-Württemberg
65.0,77272.17232791125,männlich,41.0,K1772,,,,,,Berlin
50.0,62488.351194082206,männlich,12.0,K1676,,,,,,Berlin
53.0,59582.2190840033,weiblich,31.0,K1741,,,,,,Hessen
69.0,64084.613271185575,weiblich,52.0,K1819,,,,,,Bayern
57.0,50717.287096426,weiblich,26.0,K1367,,,,,,Nordrhein-Westfalen
62.0,80655.26833212131,männlich,35.0,K1715,,,,,,Sachsen
46.0,49160.77856726122,weiblich,39.0,K1402,,,,,,Bayern
53.0,68336.19977810085,männlich,33.0,K1519,,,,,,Sachsen
58.0,49653.39457003938,weiblich,38.0,K1255,,,,,,Nordrhein-Westfalen
56.0,72358.42907053951,männlich,44.0,K1810,,,,,,Thüringen
44.0,67182.04737078062,weiblich,38.0,K1894,,,,,,Nordrhein-Westfalen
39.0,50353.634423314,weiblich,41.0,K1655,,,,,,Hessen
36.0,48307.10194014782,männlich,16.0,K1593,,,,,,Baden-Württemberg
31.0,28227.61849741835,männlich,33.0,K1252,,,,,,Baden-Württemberg
59.0,71174.38427009825,männlich,49.0,K1251,,,,,,Hessen
43.0,59150.94076517639,weiblich,31.0,K1941,,,,,,Thüringen
30.0,40098.97930944886,weiblich,40.0,K1931,,,,,,Sachsen
59.0,61744.00685308066,männlich,27.0,K1975,,,,,,Thüringen
49.0,64640.80828524312,männlich,38.0,K1453,,,,,,Brandenburg
48.0,57581.11655438521,weiblich,57.0,K1568,,,,,,Baden-Württemberg
61.0,71947.51335246935,männlich,33.0,K1430,,,,,,Baden-Württemberg
37.0,57751.77227125286,männlich,24.0,K1291,,,,,,Baden-Württemberg
56.0,59483.17370518163,weiblich,53.0,K1228,,,,,,Baden-Württemberg
68.0,82507.00289295636,männlich,24.0,K1864,,,,,,Sachsen
65.0,77623.56450322206,weiblich,41.0,K1713,,,,,,Bayern
35.0,55165.48483081868,weiblich,16.0,K1248,,,,,,Nordrhein-Westfalen
60.0,70843.4057219761,weiblich,33.0,K1956,,,,,,Baden-Württemberg
58.0,68875.22346371044,männlich,36.0,K1302,,,,,,Nordrhein-Westfalen
60.0,68566.28547266309,männlich,20.0,K1714,,,,,,Berlin
42.0,54737.68501450015,weiblich,37.0,K1384,,,,,,Berlin
68.0,84266.90561138178,männlich,43.0,K1398,,,,,,Berlin
47.0,68475.47947035421,weiblich,50.0,K1505,,,,,,Berlin
45.0,47805.49911737529,weiblich,36.0,K1227,,,,,,Berlin
68.0,68468.39756233856,weiblich,43.0,K1288,,,,,,Baden-Württemberg
50.0,61399.93782462269,weiblich,16.0,K1307,,,,,,Niedersachsen
62.0,80040.16085279999,weiblich,36.0,K1543,,,,,,Nordrhein-Westfalen
36.0,62517.50853637212,weiblich,35.0,K1351,,,,,,Nordrhein-Westfalen
54.0,65103.66431596069,weiblich,37.0,K1520,,,,,,Niedersachsen
65.0,72026.05013724076,weiblich,26.0,K1893,,,,,,Sachsen
50.0,38912.22946143465,männlich,34.0,K1234,,,,,,Berlin
31.0,39505.51717833216,männlich,15.0,K1742,,,,,,Hessen
35.0,33126.91545739253,männlich,23.0,K1507,,,,,,Brandenburg
57.0,60794.35544071276,weiblich,32.0,K1899,,,,,,Bayern
58.0,58019.166247436144,männlich,42.0,K1794,,,,,,Baden-Württemberg
50.0,54638.11210823203,männlich,45.0,K1915,,,,,,Sachsen
54.0,69123.41115128566,weiblich,56.0,K1324,,,,,,Thüringen
55.0,69613.52731286261,männlich,46.0,K1746,,,,,,Baden-Württemberg
44.0,49444.36995163138,männlich,27.0,K1917,,,,,,Baden-Württemberg
42.0,50762.74763263938,männlich,14.0,K1777,,,,,,Brandenburg
39.0,41453.36746861263,weiblich,40.0,K1920,,,,,,Niedersachsen
35.0,51809.92945439946,männlich,49.0,K1729,,,,,,Baden-Württemberg
38.0,56413.98226900063,weiblich,43.0,K1960,,,,,,Bayern
67.0,71829.75731774843,männlich,23.0,K1785,,,,,,Baden-Württemberg
67.0,64683.273523591095,weiblich,22.0,K1491,,,,,,Berlin
38.0,60883.50347816685,männlich,41.0,K1968,,,,,,Thüringen
56.0,82205.14384002211,weiblich,43.0,K1614,,,,,,Hamburg
44.0,47045.73383797704,männlich,38.0,K1372,,,,,,Nordrhein-Westfalen
48.0,84746.79344370571,männlich,36.0,K1837,,,,,,Bayern
36.0,43538.46234850251,männlich,26.0,K1546,,,,,,Hessen
57.0,72995.72853268619,männlich,43.0,K1601,,,,,,Niedersachsen
48.0,70707.73987004749,männlich,35.0,K1217,,,,,,Sachsen
42.0,48260.29217550943,weiblich,41.0,K1337,,,,,,Sachsen
56.0,76155.67203946126,männlich,29.0,K1879,,,,,,Baden-Württemberg
40.0,26846.54215214988,männlich,41.0,K1712,,,,,,Bayern
60.0,76138.00507813401,weiblich,36.0,K1776,,,,,,Sachsen
63.0,66691.26681107994,männlich,52.0,K1478,,,,,,Bayern
35.0,35044.698545708445,männlich,47.0,K1977,,,,,,Sachsen
47.0,55621.01637414354,weiblich,35.0,K1856,,,,,,Baden-Württemberg
60.0,67687.57030152502,männlich,33.0,K1338,,,,,,Hessen
68.0,70848.86655336355,männlich,33.0,K1911,,,,,,Brandenburg
53.0,79245.21742663819,männlich,31.0,K1781,,,,,,Bayern
55.0,58431.48591814502,männlich,46.0,K1422,,,,,,Nordrhein-Westfalen
63.0,74594.05365261914,weiblich,28.0,K1753,,,,,,Niedersachsen
30.0,44635.67919427661,weiblich,32.0,K1515,,,,,,Berlin
41.0,49170.38002666986,männlich,36.0,K1903,,,,,,Baden-Württemberg
68.0,78649.11140689638,weiblich,37.0,K1463,,,,,,Nordrhein-Westfalen
31.0,43375.75364123266,männlich,38.0,K1363,,,,,,Thüringen
44.0,68126.652521837,weiblich,24.0,K1732,,,,,,Bayern
44.0,55445.95305775515,weiblich,45.0,K1737,,,,,,Bayern
66.0,79203.82699739235,männlich,37.0,K1387,,,,,,Sachsen
39.0,59913.34656482462,weiblich,29.0,K1481,,,,,,Bayern
39.0,51488.134398045775,weiblich,14.0,K1489,,,,,,Bayern
43.0,53219.97439361837,männlich,40.0,K1329,,,,,,Brandenburg
50.0,50945.51749373209,weiblich,45.0,K1951,,,,,,Baden-Württemberg
45.0,52765.75865735413,weiblich,42.0,K1833,,,,,,Hamburg
53.0,53443.30526894799,männlich,39.0,K1577,,,,,,Nordrhein-Westfalen
35.0,31856.07889795332,männlich,56.0,K1452,,,,,,Nordrhein-Westfalen
47.0,49585.98844044164,männlich,42.0,K1610,,,,,,Bayern
49.0,63443.36805996244,männlich,32.0,K1744,,,,,,Baden-Württemberg
41.0,49634.22898625423,männlich,65.0,K1983,,,,,,Berlin
30.0,31802.090870144064,männlich,38.0,K1929,,,,,,Hessen
58.0,52544.54786370581,männlich,16.0,K1908,,,,,,Niedersachsen
31.0,34124.0595832316,männlich,33.0,K1724,,,,,,Sachsen
30.0,58746.83197974503,männlich,32.0,K1866,,,,,,Bayern
34.0,50643.73852762316,weiblich,29.0,K1750,,,,,,Bayern
62.0,63231.8216240426,männlich,35.0,K1859,,,,,,Hessen
34.0,45507.99444877001,männlich,39.0,K1661,,,,,,Nordrhein-Westfalen
59.0,85251.99990957863,männlich,26.0,K1955,,,,,,Berlin
39.0,50013.890492027975,männlich,31.0,K1682,,,,,,Nordrhein-Westfalen
36.0,43526.38864791295,männlich,46.0,K1190,,,,,,Sachsen
62.0,59572.98556778787,männlich,18.0,K1347,,,,,,Baden-Württemberg
55.0,62382.86173048115,männlich,41.0,K1803,,,,,,Nordrhein-Westfalen
48.0,59163.82368118809,weiblich,41.0,K1264,,,,,,Berlin
50.0,73917.24951702455,männlich,52.0,K1629,,,,,,Bayern
46.0,63048.00599990672,männlich,31.0,K1140,,,,,,Berlin
57.0,54319.92014266763,männlich,53.0,K1645,,,,,,Brandenburg
38.0,45342.44887981655,männlich,40.0,K1275,,,,,,Berlin
52.0,68579.73782117813,weiblich,24.0,K1759,,,,,,Berlin
43.0,60901.03909793945,weiblich,52.0,K1891,,,,,,Hessen
48.0,65433.98468653538,weiblich,36.0,K1860,,,,,,Sachsen
57.0,64092.31580931567,männlich,36.0,K1943,,,,,,Nordrhein-Westfalen
54.0,74220.58232237589,männlich,45.0,K1200,,,,,,Nordrhein-Westfalen
59.0,56608.2671927764,männlich,49.0,K1668,,,,,,Bayern
58.0,78517.61269570532,männlich,24.0,K1345,,,,,,Baden-Württemberg
40.0,49709.40649298079,männlich,20.0,K1679,,,,,,Thüringen
32.0,36992.27895495792,männlich,26.0,K1795,,,,,,Hamburg
66.0,67550.8458188448,männlich,18.0,K1565,,,,,,Sachsen
56.0,66602.00104696192,männlich,55.0,K1658,,,,,,Thüringen
35.0,48822.8312188674,weiblich,21.0,K1885,,,,,,Baden-Württemberg
35.0,50251.17942340272,weiblich,39.0,K1311,,,,,,Nordrhein-Westfalen
46.0,44087.58252073564,männlich,32.0,K1497,,,,,,Nordrhein-Westfalen
69.0,84659.69463801473,weiblich,32.0,K1502,,,,,,Baden-Württemberg
38.0,46151.09013655503,männlich,18.0,K1861,,,,,,Niedersachsen
