KundeNr,Alter,Geschlecht,Zeit,Einkommen,Preis,Niederlassung
K1703,64,1,"11,0","66775,5553021718",,Berlin
K1621,51,0,"24,0","41344,513691095926",,Nordrhein-Westfalen
K1379,37,1,"45,0","42547,269364431886",,Berlin
K1423,60,1,"46,0","59341,44721400047",,Hessen
K1711,36,0,"31,0","54638,64043798264",,Sachsen
K1249,69,0,"26,0","71732,2488483215",,Hessen
K1739,47,1,"32,0","41229,83915188955",,Nordrhein-Westfalen
K1663,42,0,"22,0","52868,08933311733",,Baden-Württemberg
K1914,68,0,"41,0","74031,33048504737",,Baden-Württemberg
K1850,33,0,"51,0","44278,56567005231",,Nordrhein-Westfalen
K1474,54,0,"32,0","71794,83899910498",,Berlin
K1373,62,0,"49,0","78050,89145865993",,Baden-Württemberg
K1728,60,1,"28,0","80978,81780644435",,Nordrhein-Westfalen
K1412,45,1,"33,0","51056,508520397634",,Nordrhein-Westfalen
K1528,53,1,"41,0","64432,70137116784",,Baden-Württemberg
K1415,48,0,"32,0","62342,14554131874",,Niedersachsen
K1459,51,0,"35,0","56363,69118728709",,Hamburg
K1151,63,1,"48,0","72396,21052871113",,Niedersachsen
K1454,34,0,"50,0","26142,98247982684",,Brandenburg
K1476,67,1,"47,0","87205,89801486135",,Sachsen
K1584,58,0,"27,0","65207,45369111064",,Baden-Württemberg
K1681,39,1,"45,0","48650,32716141169",,Nordrhein-Westfalen
K1366,58,1,"25,0","80403,59755265598",,Baden-Württemberg
K1300,62,0,"35,0","68355,76502240951",,Thüringen
K1995,49,1,"44,0","54754,52544962578",,Berlin
K1849,53,1,"48,0","59447,262796840456",,Nordrhein-Westfalen
K1212,52,1,"47,0","67687,35381148307",,Baden-Württemberg
K1971,41,0,"51,0","43844,85658174201",,Niedersachsen
K1164,50,1,"32,0","56874,927420698994",,Berlin
K1763,41,1,"26,0","45205,48270302053",,Baden-Württemberg
K1368,56,0,"33,0","66037,855417978",,Berlin
K1673,58,1,"38,0","70703,99819302277",,Hessen
K1205,32,0,"42,0","57455,89154299589",,Niedersachsen
K1548,60,0,"40,0","78010,02181157023",,Thüringen
K1595,54,1,"39,0","54716,54874136162",,Sachsen
K1792,68,1,"41,0","74173,37479321256",,Thüringen
K1904,45,1,"46,0","56233,72142710067",,Bayern
K1745,63,1,"25,0","72230,76156233066",,Nordrhein-Westfalen
K1274,63,1,"39,0","68751,57141072903",,Baden-Württemberg
K1284,63,0,"12,0","81446,3626440167",,Niedersachsen
K1409,52,0,"42,0","63037,62322866091",,Baden-Württemberg
K1446,55,1,"35,0","63242,91075110579",,Baden-Württemberg
K1162,36,1,"36,0","49453,96108096693",,Baden-Württemberg
K1963,30,1,"45,0","46530,32318665145",,Nordrhein-Westfalen
K1254,31,1,"29,0","47601,83250459995",,Hamburg
K1229,69,1,"37,0","78663,93535160618",,Niedersachsen
K1808,68,0,"27,0","75303,55879567935",,Nordrhein-Westfalen
K1155,51,1,"38,0","57040,845501739626",,Sachsen
K1458,45,1,"31,0","44138,65666459138",,Bayern
K1928,49,1,"42,0","50246,09171758335",,Sachsen
K1247,41,0,"15,0","54152,49417110841",,Berlin
K1575,70,0,"47,0","71511,57807009188",,Nordrhein-Westfalen
K1504,32,1,"27,0","32659,50626332902",,Bayern
K1680,63,1,"35,0","74905,16215817424",,Hessen
K1425,46,0,"54,0","53575,60719815357",,Hessen
K1124,32,0,"24,0","34848,440657675164",,Nordrhein-Westfalen
K1897,65,1,"38,0","70533,06422668723",,Nordrhein-Westfalen
K1812,51,1,"53,0","53267,39361143701",,Berlin
K1828,35,0,"33,0","53193,85923018119",,Thüringen
K1512,41,0,"39,0","64926,19167828226",,Hamburg
K1662,55,0,"22,0","65102,40111435221",,Bayern
K1143,53,0,"36,0","64075,21152405026",,Nordrhein-Westfalen
K1280,49,0,"30,0","67290,60216332534",,Hessen
K1350,41,1,"24,0","35323,88007913634",,Sachsen
K1845,59,0,"31,0","63141,814178909146",,Sachsen
K1707,67,1,"34,0","78936,7240936164",,Niedersachsen
K1873,51,1,"36,0","76712,25928056381",,Baden-Württemberg
K1869,44,1,"54,0","48523,85972184355",,Sachsen
K1259,37,0,"31,0","41367,81621506573",,Nordrhein-Westfalen
K1392,64,1,"43,0","68522,84225868413",,Sachsen
K1855,42,1,"36,0","50054,07447111782",,Nordrhein-Westfalen
K1122,51,1,"39,0","64923,2465521522",,Nordrhein-Westfalen
K1232,48,1,"22,0","57701,18544621786",,Nordrhein-Westfalen
K1427,38,0,"44,0","25073,66890051087",,Berlin
K1360,54,0,"39,0","59813,591317114704",,Berlin
K1875,52,1,"42,0","55752,80243094997",,Bayern
K1961,31,1,"39,0","35492,79320276713",,Nordrhein-Westfalen
K1295,69,0,"47,0","75983,22376160801",,Hessen
K1220,70,1,"20,0","57964,51215425568",,Hessen
K1842,37,0,"25,0","38361,78583960067",,Nordrhein-Westfalen
K1285,51,0,"38,0","67445,37935769891",,Bayern
K1406,41,1,"40,0","40291,75658339562",,Thüringen
K1784,45,1,"14,0","34928,931486598696",,Bayern
K1743,69,0,"35,0","95449,89944185666",,Berlin
K1754,30,0,"36,0","44854,02478961971",,Hessen
K1721,60,0,"43,0","74006,40521042302",,Bayern
K1701,67,1,"29,0","92235,91092679052",,Bayern
K1622,54,0,"31,0","81957,21491840295",,Berlin
K1980,31,0,"29,0","31912,96328237923",,Bayern
K1150,67,0,"50,0","100322,36627573174",,Bayern
K1912,47,1,"43,0","56853,89576971034",,Bayern
K1262,35,0,"34,0","33579,07453165961",,Baden-Württemberg
K1770,53,0,"32,0","50242,75715062758",,Nordrhein-Westfalen
K1276,52,0,"36,0","58522,30288435561",,Sachsen
K1121,35,0,"33,0","35620,91508044857",,Bayern
K1616,58,1,"35,0","68324,69609736647",,Bayern
K1153,44,1,"56,0","64786,55370707238",,Baden-Württemberg
K1967,32,0,"17,0","45043,607729217045",,Nordrhein-Westfalen
K1854,54,1,"33,0","72200,30765952234",,Hessen
K1620,46,0,"40,0","61880,00432369419",,Sachsen
K1722,70,1,"36,0","97121,14063388376",,Baden-Württemberg
K1585,68,1,"40,0","91036,07992470788",,Brandenburg
K1388,34,0,"41,0","55437,44934982448",,Sachsen
K1694,70,0,"18,0","67947,50548655371",,Bayern
K1330,68,0,"51,0","67645,32893488045",,Berlin
K1131,52,1,"29,0","71199,25034553104",,Berlin
K1953,34,1,"58,0","31569,14469448068",,Baden-Württemberg
K1542,45,1,"41,0","50681,68694442643",,Hessen
K1949,39,1,"30,0","42755,05631672945",,Hessen
K1469,60,0,"20,0","61876,053857405335",,Hessen
K1334,59,1,"44,0","77392,45243948342",,Hessen
K1142,35,1,"27,0","31305,75142624562",,Baden-Württemberg
K1962,66,0,"22,0","76359,21101179442",,Sachsen
K1479,59,1,"35,0","58008,720109576505",,Baden-Württemberg
K1574,31,1,"33,0","41923,36515027969",,Nordrhein-Westfalen
K1964,33,1,"27,0","37291,97508568333",,Bayern
K1863,64,0,"36,0","80850,54112703342",,Baden-Württemberg
K1756,31,1,"41,0","24167,813958101447",,Niedersachsen
K1299,46,1,"55,0","47676,39503820558",,Bayern
K1865,39,0,"53,0","40081,01700884192",,Nordrhein-Westfalen
K1973,63,1,"30,0","84772,48084731762",,Düsseldorf
K1608,30,1,"30,0","21238,02542225393",,Berlin
K1966,54,0,"36,0","53423,91068717487",,Hamburg
K1846,49,1,"57,0","55265,13374235362",,Baden-Württemberg
K1684,65,0,"34,0","79612,09314241726",,Hessen
K1993,40,0,"48,0","41616,57298010873",,Nordrhein-Westfalen
K1267,30,0,"36,0","54906,9841115438",,Nordrhein-Westfalen
K1735,67,0,"38,0","67953,50503425323",,Niedersachsen
K1257,39,1,"42,0","54069,62609830466",,Bayern
K1789,58,1,"38,0","68239,81506659748",,Baden-Württemberg
K1734,39,1,"29,0","47801,25201522806",,Baden-Württemberg
K1780,42,0,"17,0","54451,38922687168",,Hessen
K1216,63,1,"32,0","72872,40984065089",,Brandenburg
K1331,69,1,"43,0","77933,08345381929",,Thüringen
K1723,39,1,"37,0","39742,26414332624",,Niedersachsen
K1208,48,1,"16,0","46968,11334133677",,Hessen
K1526,62,1,"68,0","84204,70672820717",,Bayern
K1524,59,1,"29,0","64971,40044640654",,Sachsen
K1691,30,1,"37,0","25293,08536320475",,Sachsen
K1224,48,0,"16,0","57289,90314946119",,Nordrhein-Westfalen
K1158,47,1,"33,0","53602,47896688802",,Nordrhein-Westfalen
K1256,62,1,"40,0","70856,65436451563",,Berlin
K1508,45,1,"55,0","65988,52038027447",,Sachsen
K1944,61,1,"46,0","43123,90092326082",,Baden-Württemberg
K1312,42,1,"27,0","41050,15920441383",,Baden-Württemberg
K1857,53,0,"20,0","61112,05583267966",,Baden-Württemberg
K1822,70,1,"51,0","79595,02132977676",,Thüringen
K1113,66,0,"59,0","76115,9481075349",,Bayern
K1827,38,1,"42,0","29634,423994680477",,Baden-Württemberg
K1141,61,1,"27,0","62738,78126475906",,Niedersachsen
K1557,68,1,"35,0","94379,27254997374",,Niedersachsen
K1358,42,1,"48,0","67920,23427164622",,Berlin
K1408,37,1,"33,0","39083,359698716136",,Baden-Württemberg
K1772,65,1,"41,0","77272,17232791125",,Berlin
K1676,50,1,"12,0","62488,351194082206",,Berlin
K1741,53,0,"31,0","59582,2190840033",,Hessen
K1819,69,0,"52,0","64084,613271185575",,Bayern
K1367,57,0,"26,0","50717,287096426",,Nordrhein-Westfalen
K1715,62,1,"35,0","80655,26833212131",,Sachsen
K1402,46,0,"39,0","49160,77856726122",,Bayern
K1519,53,1,"33,0","68336,19977810085",,Sachsen
K1255,58,0,"38,0","49653,39457003938",,Nordrhein-Westfalen
K1810,56,1,"44,0","72358,42907053951",,Thüringen
K1894,44,0,"38,0","67182,04737078062",,Nordrhein-Westfalen
K1655,39,0,"41,0","50353,634423314",,Hessen
K1593,36,1,"16,0","48307,10194014782",,Baden-Württemberg
K1252,31,1,"33,0","28227,61849741835",,Baden-Württemberg
K1251,59,1,"49,0","71174,38427009825",,Hessen
K1941,43,0,"31,0","59150,94076517639",,Thüringen
K1931,30,0,"40,0","40098,97930944886",,Sachsen
K1975,59,1,"27,0","61744,00685308066",,Thüringen
K1453,49,1,"38,0","64640,80828524312",,Brandenburg
K1568,48,0,"57,0","57581,11655438521",,Baden-Württemberg
K1430,61,1,"33,0","71947,51335246935",,Baden-Württemberg
K1291,37,1,"24,0","57751,77227125286",,Baden-Württemberg
K1228,56,0,"53,0","59483,17370518163",,Baden-Württemberg
K1864,68,1,"24,0","82507,00289295636",,Sachsen
K1713,65,0,"41,0","77623,56450322206",,Bayern
K1248,35,0,"16,0","55165,48483081868",,Nordrhein-Westfalen
K1956,60,0,"33,0","70843,4057219761",,Baden-Württemberg
K1302,58,1,"36,0","68875,22346371044",,Nordrhein-Westfalen
K1714,60,1,"20,0","68566,28547266309",,Berlin
K1384,42,0,"37,0","54737,68501450015",,Berlin
K1398,68,1,"43,0","84266,90561138178",,Berlin
K1505,47,0,"50,0","68475,47947035421",,Berlin
K1227,45,0,"36,0","47805,49911737529",,Berlin
K1288,68,0,"43,0","68468,39756233856",,Baden-Württemberg
K1307,50,0,"16,0","61399,93782462269",,Niedersachsen
K1543,62,0,"36,0","80040,16085279999",,Nordrhein-Westfalen
K1351,36,0,"35,0","62517,50853637212",,Nordrhein-Westfalen
K1520,54,0,"37,0","65103,66431596069",,Niedersachsen
K1893,65,0,"26,0","72026,05013724076",,Sachsen
K1234,50,1,"34,0","38912,22946143465",,Berlin
K1742,31,1,"15,0","39505,51717833216",,Hessen
K1507,35,1,"23,0","33126,91545739253",,Brandenburg
K1899,57,0,"32,0","60794,35544071276",,Bayern
K1794,58,1,"42,0","58019,166247436144",,Baden-Württemberg
K1915,50,1,"45,0","54638,11210823203",,Sachsen
K1324,54,0,"56,0","69123,41115128566",,Thüringen
K1746,55,1,"46,0","69613,52731286261",,Baden-Württemberg
K1917,44,1,"27,0","49444,36995163138",,Baden-Württemberg
K1777,42,1,"14,0","50762,74763263938",,Brandenburg
K1920,39,0,"40,0","41453,36746861263",,Niedersachsen
K1729,35,1,"49,0","51809,92945439946",,Baden-Württemberg
K1960,38,0,"43,0","56413,98226900063",,Bayern
K1785,67,1,"23,0","71829,75731774843",,Baden-Württemberg
K1491,67,0,"22,0","64683,273523591095",,Berlin
K1968,38,1,"41,0","60883,50347816685",,Thüringen
K1614,56,0,"43,0","82205,14384002211",,Hamburg
K1372,44,1,"38,0","47045,73383797704",,Nordrhein-Westfalen
K1837,48,1,"36,0","84746,79344370571",,Bayern
K1546,36,1,"26,0","43538,46234850251",,Hessen
K1601,57,1,"43,0","72995,72853268619",,Niedersachsen
K1217,48,1,"35,0","70707,73987004749",,Sachsen
K1337,42,0,"41,0","48260,29217550943",,Sachsen
K1879,56,1,"29,0","76155,67203946126",,Baden-Württemberg
K1712,40,1,"41,0","26846,54215214988",,Bayern
K1776,60,0,"36,0","76138,00507813401",,Sachsen
K1478,63,1,"52,0","66691,26681107994",,Bayern
K1977,35,1,"47,0","35044,698545708445",,Sachsen
K1856,47,0,"35,0","55621,01637414354",,Baden-Württemberg
K1338,60,1,"33,0","67687,57030152502",,Hessen
K1911,68,1,"33,0","70848,86655336355",,Brandenburg
K1781,53,1,"31,0","79245,21742663819",,Bayern
K1422,55,1,"46,0","58431,48591814502",,Nordrhein-Westfalen
K1753,63,0,"28,0","74594,05365261914",,Niedersachsen
K1515,30,0,"32,0","44635,67919427661",,Berlin
K1903,41,1,"36,0","49170,38002666986",,Baden-Württemberg
K1463,68,0,"37,0","78649,11140689638",,Nordrhein-Westfalen
K1363,31,1,"38,0","43375,75364123266",,Thüringen
K1732,44,0,"24,0","68126,652521837",,Bayern
K1737,44,0,"45,0","55445,95305775515",,Bayern
K1387,66,1,"37,0","79203,82699739235",,Sachsen
K1481,39,0,"29,0","59913,34656482462",,Bayern
K1489,39,0,"14,0","51488,134398045775",,Bayern
K1329,43,1,"40,0","53219,97439361837",,Brandenburg
K1951,50,0,"45,0","50945,51749373209",,Baden-Württemberg
K1833,45,0,"42,0","52765,75865735413",,Hamburg
K1577,53,1,"39,0","53443,30526894799",,Nordrhein-Westfalen
K1452,35,1,"56,0","31856,07889795332",,Nordrhein-Westfalen
K1610,47,1,"42,0","49585,98844044164",,Bayern
K1744,49,1,"32,0","63443,36805996244",,Baden-Württemberg
K1983,41,1,"65,0","49634,22898625423",,Berlin
K1929,30,1,"38,0","31802,090870144064",,Hessen
K1908,58,1,"16,0","52544,54786370581",,Niedersachsen
K1724,31,1,"33,0","34124,0595832316",,Sachsen
K1866,30,1,"32,0","58746,83197974503",,Bayern
K1750,34,0,"29,0","50643,73852762316",,Bayern
K1859,62,1,"35,0","63231,8216240426",,Hessen
K1661,34,1,"39,0","45507,99444877001",,Nordrhein-Westfalen
K1955,59,1,"26,0","85251,99990957863",,Berlin
K1682,39,1,"31,0","50013,890492027975",,Nordrhein-Westfalen
K1190,36,1,"46,0","43526,38864791295",,Sachsen
K1347,62,1,"18,0","59572,98556778787",,Baden-Württemberg
K1803,55,1,"41,0","62382,86173048115",,Nordrhein-Westfalen
K1264,48,0,"41,0","59163,82368118809",,Berlin
K1629,50,1,"52,0","73917,24951702455",,Bayern
K1140,46,1,"31,0","63048,00599990672",,Berlin
K1645,57,1,"53,0","54319,92014266763",,Brandenburg
K1275,38,1,"40,0","45342,44887981655",,Berlin
K1759,52,0,"24,0","68579,73782117813",,Berlin
K1891,43,0,"52,0","60901,03909793945",,Hessen
K1860,48,0,"36,0","65433,98468653538",,Sachsen
K1943,57,1,"36,0","64092,31580931567",,Nordrhein-Westfalen
K1200,54,1,"45,0","74220,58232237589",,Nordrhein-Westfalen
K1668,59,1,"49,0","56608,2671927764",,Bayern
K1345,58,1,"24,0","78517,61269570532",,Baden-Württemberg
K1679,40,1,"20,0","49709,40649298079",,Thüringen
K1795,32,1,"26,0","36992,27895495792",,Hamburg
K1565,66,1,"18,0","67550,8458188448",,Sachsen
K1658,56,1,"55,0","66602,00104696192",,Thüringen
K1885,35,0,"21,0","48822,8312188674",,Baden-Württemberg
K1311,35,0,"39,0","50251,17942340272",,Nordrhein-Westfalen
K1497,46,1,"32,0","44087,58252073564",,Nordrhein-Westfalen
K1502,69,0,"32,0","84659,69463801473",,Baden-Württemberg
K1861,38,1,"18,0","46151,09013655503",,Niedersachsen
K1322,39,1,"59,0","56023,57481737575",,Baden-Württemberg
K1109,43,0,"31,0","53592,01268373325",,Nordrhein-Westfalen
K1747,36,1,"42,0","46292,64821649616",,Baden-Württemberg
K1902,51,0,"57,0","53493,22245123",,Niedersachsen
K1717,47,1,"46,0","63291,36034723298",,Baden-Württemberg
K1843,62,0,"30,0","74418,17682867263",,Bayern
K1651,62,1,"37,0","80098,84348008504",,Sachsen
K1830,36,0,"35,0","22706,333687510007",,Baden-Württemberg
K1788,64,0,"20,0","80694,13503602639",,Baden-Württemberg
K1203,57,1,"51,0","69354,03908552793",,Thüringen
K1832,34,1,"28,0","37661,69296425793",,Bayern
K1678,49,0,"47,0","70657,90273822784",,Nordrhein-Westfalen
K1511,68,0,"36,0","82209,9028990893",,Nordrhein-Westfalen
K1607,49,0,"44,0","67813,53353244104",,Niedersachsen
K1152,69,1,"44,0","69862,19896027556",,Hessen
K1137,57,0,"30,0","68849,42162075546",,Berlin
K1305,58,0,"42,0","64187,77402135038",,Bayern
K1239,59,1,"33,0","63241,90384258392",,Berlin
K1132,58,1,"46,0","81205,2106669526",,Hessen
K1952,42,1,"41,0","48307,88333506359",,Berlin
K1335,41,1,"28,0","51201,01414120506",,Berlin
K1594,38,0,"25,0","60020,87616762462",,Niedersachsen
K1483,49,0,"40,0","51392,49926367718",,Baden-Württemberg
K1393,68,1,"35,0","75570,01523540512",,Berlin
K1523,58,0,"47,0","74947,00882859303",,Nordrhein-Westfalen
K1779,53,0,"48,0","65983,03408246486",,Baden-Württemberg
K1496,66,1,"22,0","80806,3785643034",,Bayern
K1697,44,1,"50,0","60135,62060655392",,Bayern
K1603,62,0,"24,0","70449,09092468504",,Niedersachsen
K1243,70,0,"46,0","87311,6479662892",,Berlin
K1167,51,1,"51,0","43966,82165100914",,Nordrhein-Westfalen
K1576,40,1,"39,0","50404,683471917626",,Baden-Württemberg
K1752,30,0,"30,0","37308,86983279808",,Berlin
K1233,57,0,"25,0","77750,94761607521",,Bayern
K1972,39,0,"28,0","45047,55095673474",,Nordrhein-Westfalen
K1625,34,0,"34,0","33066,51872882614",,Baden-Württemberg
K1169,58,1,"38,0","57893,550514330855",,Hessen
K1119,60,1,"44,0","63515,3557570424",,Nordrhein-Westfalen
K1261,62,0,"18,0","77583,3564677155",,Berlin
K1145,56,0,"40,0","41843,15467731814",,Berlin
K1597,30,0,"32,0","40182,209774789095",,Nordrhein-Westfalen
K1484,47,0,"22,0","58432,854376868185",,Baden-Württemberg
K1292,66,0,"15,0","77161,38225056148",,Baden-Württemberg
K1868,38,0,"41,0","47188,88812026303",,Bayern
K1321,41,0,"31,0","49550,96776765906",,Baden-Württemberg
K1157,30,0,"8,0","30096,83903677389",,Thüringen
K1442,45,0,"55,0","48971,41724927535",,Nordrhein-Westfalen
K1853,42,1,"42,0","35264,285269608416",,Baden-Württemberg
K1824,47,0,"24,0","51429,78677781613",,Nordrhein-Westfalen
K1829,48,1,"40,0","73148,25210218443",,Sachsen
K1400,51,0,"32,0","69768,66331736703",,Hessen
K1806,46,1,"20,0","66328,13647748511",,Berlin
K1356,70,0,"43,0","66260,0261280502",,Nordrhein-Westfalen
K1831,45,0,"25,0","50109,82725085266",,Baden-Württemberg
K1566,46,1,"43,0","57509,96508522576",,Hamburg
K1560,58,0,"34,0","69209,45004428051",,Nordrhein-Westfalen
K1992,67,1,"21,0","81521,76144297997",,Baden-Württemberg
K1374,49,1,"35,0","60350,97690802643",,Baden-Württemberg
K1306,42,1,"47,0","53357,53278831714",,Berlin
K1266,56,1,"48,0","61601,83870475674",,Bayern
K1660,62,1,"22,0","65956,21914527242",,Berlin
K1834,30,1,"26,0","45591,20724531085",,Hessen
K1506,48,0,"41,0","43655,93017037532",,Nordrhein-Westfalen
K1807,59,0,"35,0","56316,93332282888",,Niedersachsen
K1581,68,1,"24,0","84969,40499640783",,Berlin
K1876,36,1,"43,0","43724,72288212965",,Nordrhein-Westfalen
K1210,69,0,"44,0","65999,38116269282",,Bayern
K1670,43,1,"54,0","53630,872956814776",,Baden-Württemberg
K1494,63,1,"38,0","81611,74538927511",,Hessen
K1106,34,1,"33,0","43358,56434967347",,Berlin
K1937,52,0,"30,0","54508,68539041199",,Nordrhein-Westfalen
K1666,53,0,"35,0","68187,64468748034",,Baden-Württemberg
K1185,37,0,"40,0","56717,58760576484",,Bayern
K1310,39,1,"28,0","40996,11239065249",,Hessen
K1139,59,0,"35,0","61880,00056054359",,Bayern
K1880,70,1,"48,0","72700,31509270631",,Nordrhein-Westfalen
K1613,60,0,"41,0","78633,97284484014",,Nordrhein-Westfalen
K1532,64,1,"43,0","67710,1761467787",,Nordrhein-Westfalen
K1559,40,1,"43,0","54688,48408511369",,Baden-Württemberg
K1471,36,1,"58,0","49200,62245305059",,Berlin
K1196,43,1,"7,0","37696,62541510117",,Niedersachsen
K1444,54,1,"46,0","71635,44389752425",,Baden-Württemberg
K1669,64,1,"48,0","59961,78573779843",,Hessen
K1450,41,0,"25,0","38375,78138430826",,Thüringen
K1881,35,1,"21,0","51044,09254333704",,Sachsen
K1346,40,0,"19,0","54037,310030892266",,Nordrhein-Westfalen
K1118,46,0,"54,0","65112,43068984319",,Bayern
K1420,70,0,"24,0","69099,94379724779",,Sachsen
K1705,65,0,"28,0","77311,9739206334",,Nordrhein-Westfalen
K1492,35,1,"26,0","34180,68077831874",,Niedersachsen
K1378,52,1,"47,0","66521,77673029815",,Nordrhein-Westfalen
K1271,34,1,"17,0","34322,45474166627",,Sachsen
K1988,37,0,"34,0","39509,3886198562",,Baden-Württemberg
K1751,40,1,"26,0","55845,12052725056",,Berlin
K1923,63,1,"27,0","78156,46621911302",,Nordrhein-Westfalen
K1589,35,1,"12,0","47150,77367320037",,Berlin
K1978,31,1,"40,0","26466,439594051568",,Thüringen
K1609,32,1,"13,0","40776,02314471374",,Berlin
K1936,60,0,"38,0","65588,40358296338",,Bayern
K1348,58,1,"55,0","60418,96718784391",,Nordrhein-Westfalen
K1671,41,0,"35,0","45567,30061803409",,Baden-Württemberg
K1667,32,0,"30,0","35272,926564171445",,Nordrhein-Westfalen
K1791,46,0,"52,0","70647,16884927596",,Bayern
K1294,57,1,"27,0","77462,12620064212",,Bayern
K1887,60,1,"50,0","54229,96589811336",,Hessen
K1804,30,1,"34,0","42931,66563188125",,Nordrhein-Westfalen
K1580,36,0,"25,0","44077,95934623655",,Nordrhein-Westfalen
K1786,30,1,"33,0","52892,24489319211",,Baden-Württemberg
K1615,46,1,"20,0","65676,46865736888",,Baden-Württemberg
K1163,52,1,"31,0","49271,15093249532",,Niedersachsen
K1579,55,1,"26,0","60312,344941033865",,Bayern
K1665,43,1,"31,0","49469,83311831008",,Berlin
K1852,33,0,"36,0","49675,88380895828",,Hamburg
K1357,63,0,"33,0","60048,61890406629",,Berlin
K1126,65,0,"39,0","86000,22043383513",,Bayern
K1418,67,0,"35,0","85349,59272714778",,Baden-Württemberg
K1564,42,0,"37,0","55437,14395534791",,Brandenburg
K1265,61,1,"36,0","74660,13264222299",,Bayern
K1381,43,0,"44,0","63300,066464825926",,Berlin
K1296,63,1,"32,0","67502,37221616226",,Nordrhein-Westfalen
K1490,40,0,"50,0","41373,85105965837",,Thüringen
K1910,39,0,"37,0","41160,410278521726",,Baden-Württemberg
K1518,66,0,"37,0","89744,99467999548",,Bayern
K1596,62,0,"38,0","70988,4472906834",,Niedersachsen
K1448,60,0,"28,0","62735,45678396812",,Baden-Württemberg
K1874,70,1,"30,0","84240,31803710136",,Hamburg
K1413,46,1,"52,0","64231,463753689066",,Bayern
K1766,47,0,"33,0","55129,65608568848",,Bayern
K1235,43,1,"62,0","59104,51301372704",,Niedersachsen
K1768,59,1,"26,0","73522,00822960361",,Hamburg
K1976,51,1,"43,0","46979,787008357554",,Hamburg
K1204,34,1,"19,0","50082,23275161896",,Baden-Württemberg
K1477,49,1,"35,0","61221,78113765836",,Nordrhein-Westfalen
K1192,57,0,"38,0","74592,79954735856",,Sachsen
K1563,68,1,"28,0","86843,33779081808",,Berlin
K1435,61,1,"28,0","72725,18968724947",,Berlin
K1319,32,1,"52,0","31562,64677399754",,Baden-Württemberg
K1571,37,0,"34,0","44541,69777524597",,Niedersachsen
K1226,44,1,"22,0","61848,4722403355",,Baden-Württemberg
K1719,53,0,"33,0","64184,29083653157",,Brandenburg
K1125,41,1,"20,0","41970,75544641636",,Hamburg
K1805,31,1,"20,0","47827,72371659648",,Hessen
K1176,37,0,"33,0","41292,5402355632",,Niedersachsen
K1211,32,1,"48,0","34391,82496545645",,Hessen
K1375,41,0,"34,0","68516,49543941053",,Sachsen
K1965,65,0,"23,0","89685,33344089528",,Bayern
K1540,68,0,"32,0","95714,30526812703",,Bayern
K1207,49,0,"27,0","73319,1870845747",,Niedersachsen
K0310,64,1,"43,0","66894,0","88160,31",Bayern
K1042,54,1,"40,0","77644,0","103145,7",Berlin
K0382,55,0,"37,0","44341,0","80565,16",Baden-Württemberg
K0498,49,0,"42,0","67271,0","83949,89",Bayern
K0552,46,0,"41,0","49832,0","93781,58",Hessen
K0833,59,1,"56,0","62970,0","83862,47",Hessen
K0097,36,1,"23,0","23660,0","49960,18",Thüringen
K0290,50,1,"38,0","62422,0","94530,65",Thüringen
K0950,32,1,"36,0","34112,0","62280,35",Bayern
K0102,62,1,"52,0","77546,0","124857,23",Baden-Württemberg
K1098,68,1,"54,0","77662,0","118227,18",Thüringen
K0071,45,0,"39,0","68432,0","82849,76",Berlin
K1023,51,0,"31,0","37169,0","57319,84",Sachsen
K0482,65,1,"50,0","78613,0","114603,28",Baden-Württemberg
K0440,53,1,"54,0","69721,0","98479,34",Hessen
K0877,62,1,"42,0","62350,0","84761,44",Hessen
K0295,34,1,"54,0","57844,0","62302,49",Nordrhein-Westfalen
K0329,55,1,"37,0","44222,0","78218,77",Bayern
K0433,53,0,"57,0","74381,0","120881,72",Nordrhein-Westfalen
K0142,57,0,"42,0","45095,0","77157,15",Baden-Württemberg
K0762,43,0,"44,0","52813,0","67106,32",Berlin
K0459,46,0,"47,0","49340,0","69960,66",Nordrhein-Westfalen
K0865,62,1,"72,0","89774,0","117051,99",Sachsen
K1001,55,0,"54,0","66861,0","97465,12",Bayern
K0889,66,0,"56,0","84822,0","118968,62",Hessen
K0917,59,1,"52,0","91693,0","121840,18",Bayern
K0537,67,0,"43,0","61517,0","80799,11",Niedersachsen
K0362,66,0,"69,0","78548,0","121289,35",Sachsen
K0856,40,0,"53,0","61386,0","81555,07",Niedersachsen
K0399,41,0,"39,0","45016,0","65106,71",Niedersachsen
K0448,30,1,"35,0","39302,0","71437,17",Baden-Württemberg
K0210,65,1,"65,0","83431,0","119640,51",Baden-Württemberg
K0502,48,1,"29,0","46259,0","73400,97",Baden-Württemberg
K0782,53,1,"38,0","56160,0","93839,56",Nordrhein-Westfalen
K0912,37,0,"20,0","47689,0","73619,96",Hessen
K0412,55,1,"40,0","56264,0","83364,29",Baden-Württemberg
K0690,34,0,"36,0","27844,0","41694,48",Bayern
K0698,43,1,"56,0","72619,0","94619,66",Berlin
K0045,57,0,"51,0","51842,0","70527,14",Sachsen
K0535,39,0,"29,0","16051,0","24654,09",Hamburg
K0766,55,0,"46,0","63325,0","89117,31",Berlin
K0335,58,1,"46,0","64638,0","98621,47",Bayern
K0695,44,1,"53,0","54514,0","80645,05",Hessen
K0603,39,0,"40,0","44538,0","74086,48",Bayern
